game_id	away_team_id	away_team	away_first_downs	away_passing_first_downs	away_rushing_first_downs	away_rushing_yds	away_rushing_attempts	away_passing_attempts	away_passing_completions	away_passing_interceptions	away_avg_per_pass	 away_pass_yds	away_yds_per_play	away_tot_offense	away_fumbles_number	away_fumbles_lost	away_pen_number	away_pen_yds	away_pun_number	away_pun_yds	away_pun_re_number	away_pun_re_yds	away_kick_re_number	away_kick_re_yds	away_int_re_number	away_int_re_yds	away_third_down_attempts	away_third_down_suc	away_fourth_down_attempts	away_fourth_down_suc	home_team_id	home_team	home_first_downs	home_passing_first_downs	home_rushing_first_downs	home_rushing_yds	home_rushing_attempts	home_passing_attempts	home_passing_completions	home_passing_interceptions	home_avg_per_pass	 home_pass_yds	home_yds_per_play	home_tot_offense	home_fumbles_number	home_fumbles_lost	home_pen_number	home_pen_yds	home_pun_number	home_pun_yds	home_pun_re_number	home_pun_re_yds	home_kick_re_number	home_kick_re_yds	home_int_re_number	home_int_re_yds	home_third_down_attempts	home_third_down_suc	home_fourth_down_attempts	home_fourth_down_suc
uni-iowa-st	920	UNI	0	0	0	119	22	38	23	3	6.8	259	6.3	378	0	0	8	71	5	225	2	7	4	81	1	0	0	0	0	0	2476	Iowa State	0	0	0	134	35	36	27	1	7.5	271	5.7	405	0	0	7	74	5	227	3	11	4	81	3	0	0	0	0	0	
fresno-st-boise-st	1763	Fresno State	19	8	9	137	35	34	16	1	5.1	172	4.5	309	2	0	8	57	8	326	1	0	1	23	0	0	13	2	1	1	2536	Boise State	19	6	11	109	38	32	17	0	8.0	255	5.2	364	0	0	9	70	8	289	2	41	1	23	1	9	17	6	0	0	
tulsa-smu	1353	Tulsa	22	12	6	246	53	25	9	1	8.5	212	5.9	458	0	0	8	73	4	163	0	0	4	108	0	0	19	10	1	0	1333	SMU	20	5	13	215	30	34	20	0	10.8	366	9.1	581	2	0	7	90	5	209	1	4	4	108	1	0	13	4	1	0	
wake-forest-syracuse	2358	Wake Forest	34	18	14	371	51	38	25	0	9.6	363	8.2	734	0	0	10	62	4	161	1	0	3	72	2	52	16	8	2	2	2665	Syracuse	33	9	22	178	32	67	38	2	6.6	443	6.3	621	1	0	3	25	3	128	2	18	3	72	0	0	18	6	5	3	
jackson-st-tcu	1123	Jackson State	7	3	2	24	42	14	7	1	2.9	41	1.2	65	2	1	3	10	10	384	0	0	5	72	1	25	14	1	1	0	1703	TCU	24	13	11	242	36	30	23	1	10.0	300	8.2	542	1	0	5	51	2	64	2	17	5	72	1	53	11	7	2	0	
tulane-oklahoma	293	Tulane	0	0	0	237	62	12	6	1	4.5	54	3.9	291	0	0	2	20	8	322	0	0	1	16	0	0	0	0	0	0	574	Oklahoma	0	0	0	197	32	30	20	0	14.5	434	10.2	631	0	0	4	37	2	84	0	0	1	16	1	0	0	0	0	0	
presbyterian-wake-forest	539	Presbyterian	12	10	2	207	45	9	2	1	4.6	41	4.6	248	3	0	5	45	7	285	0	0	8	132	1	0	14	4	2	0	2358	Wake Forest	29	16	10	248	45	27	20	1	8.8	239	6.8	487	0	0	4	25	1	35	4	76	8	132	1	22	9	5	1	1	
western-mich-michigan-st	490	Western Mich.	11	7	4	116	36	27	12	1	2.9	79	3.1	195	0	0	3	20	8	373	0	0	4	181	1	0	15	1	5	3	802	Mich. St. 	21	12	9	296	49	21	13	1	7.7	161	6.5	457	2	1	3	30	6	232	4	23	4	181	1	0	15	7	1	1	
texas-am-ole-miss	2014	Texas A&M	18	2	11	119	44	32	19	1	8.5	272	5.2	391	0	0	7	65	8	368	1	2	4	67	1	19	19	7	0	0	1851	Mississippi	19	10	6	202	39	34	19	1	5.6	189	5.4	391	1	1	13	102	9	369	1	5	4	67	1	0	17	6	1	0	
alabama-mississippi-st	1175	Alabama	20	11	7	202	38	19	10	0	12.7	242	7.8	444	1	0	5	60	4	174	1	6	1	18	0	0	10	3	1	1	2198	Mississippi St.	22	10	9	172	49	24	13	0	6.6	158	4.5	330	0	0	4	30	5	233	2	0	1	18	0	0	15	8	0	0	
