game_id	away_team_name	away_team_score	home_team_name	home_team_score
uni-iowa-st	UNI	24	Iowa State	42	
fresno-st-boise-st	Fresno State	14	Boise State	17	
tulsa-smu	Tulsa	34	SMU	38	
wake-forest-syracuse	Wake Forest	64	Syracuse	43	
jackson-st-tcu	Jackson State	0	TCU	63	
tulane-oklahoma	Tulane	14	Oklahoma	56	
presbyterian-wake-forest	Presbyterian	7	Wake Forest	51	
western-mich-michigan-st	Western Mich.	14	Mich. St. 	28	
texas-am-ole-miss	Texas A&M	31	Mississippi	24	
alabama-mississippi-st	Alabama	31	Mississippi St.	24	
coastal-caro-uab	Coastal Caro.	23	UAB	30	
miami-oh-marshall	Miami (Ohio)	26	Marshall	31	
ohio-massachusetts	Ohio	58	Massachusetts	50	
toledo-ball-st	Toledo	58	Ball State	17	
charleston-so-indiana	Charleston So.	0	Indiana	27	
ohio-st-indiana	Ohio St. 	49	Indiana	21	
wisconsin-nebraska	Wisconsin	38	Nebraska	17	
georgia-st-coastal-caro	Georgia State	27	Coastal Caro.	21	
wake-forest-georgia-tech	Wake Forest	24	Georgia Tech	38	
air-force-michigan	Air Force	13	Michigan	29	
sacramento-st-idaho	Sacramento St.	6	Idaho	28	
uab-utsa	UAB	24	UTSA	19	
georgia-vanderbilt	Georgia	45	Vanderbilt	14	
navy-tulsa	Navy	31	Tulsa	21	
missouri-kentucky	Missouri	34	Kentucky	40	
delaware-st-west-virginia	Delaware State	16	West Virginia	59	
northwestern-st-louisiana-tech	N'western St.	24	Louisiana Tech	52	
coastal-caro-la-monroe	Coastal Caro.	43	La.-Monroe	51	
buffalo-kent-st	Buffalo	27	Kent State	13	
akron-bowling-green	Akron	34	Bowling Green	23	
west-virginia-kansas-st	West Virginia	28	Kansas St.	23	
hawaii-wyoming	Hawaii	21	Wyoming	28	
bowling-green-michigan-st	Bowling Green	10	Mich. St. 	35	
western-mich-toledo	Western Mich.	10	Toledo	37	
maryland-texas	Maryland	51	Texas	41	
ball-st-akron	Ball State	3	Akron	31	
california-stanford	California	14	Stanford	17	
akron-western-mich	Akron	14	Western Mich.	13	
la-monroe-auburn	La.-Monroe	14	Auburn	42	
iowa-iowa-st	Iowa	44	Iowa State	41	
idaho-missouri	Idaho	21	Missouri	68	
wyoming-iowa	Wyoming	3	Iowa	24	
utsa-north-texas	UTSA	26	North Texas	29	
baylor-oklahoma-st	Baylor	16	Oklahoma State	59	
texas-st-arkansas-st	Texas State	12	Arkansas State	30	
ucf-temple	UCF	45	Temple	19	
temple-south-fla	Temple	7	South Florida	43	
uab-ball-st	UAB	31	Ball State	51	
tennessee-kentucky	Tennessee	26	Kentucky	29	
oklahoma-st-texas	Oklahoma State	13	Texas	10	
penn-st-maryland	Penn St.	66	Maryland	3	
texas-tech-oklahoma	Texas Tech	27	Oklahoma	49	
air-force-nevada	Air Force	45	Nevada	42	
arkansas-south-carolina	Arkansas	22	South Carolina	48	
kansas-texas	Kansas	27	Texas	42	
northern-ill-buffalo	Northern Ill.	14	Buffalo	13	
west-virginia-kansas	West Virginia	56	Kansas	34	
memphis-uconn	Memphis	70	UConn	31	
cincinnati-miami-oh	Cincinnati	21	Miami (Ohio)	17	
uab-charlotte	UAB	24	Charlotte	25	
ucf-maryland	UCF	38	Maryland	10	
south-fla-tulane	South Florida	34	Tulane	28	
wyoming-utah-st	Wyoming	28	Utah State	23	
duke-virginia-tech	Duke	3	Virginia Tech	24	
grambling-tulane	Grambling	14	Tulane	43	
la-monroe-texas-st	La.-Monroe	45	Texas State	27	
arizona-arizona-st	Arizona	30	Arizona St.	42	
utsa-fiu	UTSA	7	FIU	14	
howard-kent-st	Howard	31	Kent State	38	
ole-miss-alabama	Mississippi	3	Alabama	66	
colorado-arizona-st	Colorado	30	Arizona St.	41	
marshall-utsa	Marshall	7	UTSA	9	
michigan-st-ohio-st	Mich. St. 	3	Ohio St. 	48	
minnesota-iowa	Minnesota	10	Iowa	17	
new-mexico-st-arkansas	New Mexico St.	24	Arkansas	42	
pittsburgh-penn-st	Pittsburgh	14	Penn St.	33	
louisville-north-carolina	Louisville	47	North Carolina	35	
nebraska-purdue	Nebraska	25	Purdue	24	
stanford-utah	Stanford	23	Utah	20	
ark-pine-bluff-arkansas-st	Ark.-Pine Bluff	3	Arkansas State	48	
northern-ill-bowling-green	Northern Ill.	48	Bowling Green	17	
marshall-middle-tenn	Marshall	38	Middle Tenn.	10	
ohio-akron	Ohio	34	Akron	37	
iowa-st-oklahoma	Iowa State	38	Oklahoma	31	
kansas-ohio	Kansas	30	Ohio	42	
la-monroe-idaho	La.-Monroe	23	Idaho	31	
fiu-marshall	FIU	41	Marshall	30	
troy-boise-st	Troy	13	Boise State	24	
northwestern-illinois	Northwestern	42	Illinois	7	
ga-southern-auburn	Ga. Southern	7	Auburn	41	
ball-st-eastern-mich	Ball State	14	Eastern Mich.	56	
north-texas-fla-atlantic	North Texas	17	Florida Atlantic	41	
kentucky-southern-miss	Kentucky	24	Southern Miss	17	
unlv-nevada	UNLV	16	Nevada	23	
appalachian-st-texas-st	Appalachian St.	20	Texas State	13	
iowa-northwestern	Iowa	10	Northwestern	17	
mercer-alabama	Mercer	0	Alabama	56	
boston-college-uconn	Boston College	39	UConn	16	
wisconsin-illinois	Wisconsin	24	Illinois	10	
byu-utah-st	BYU	24	Utah State	40	
miami-fl-pittsburgh	Miami (Fla.)	14	Pittsburgh	24	
texas-am-lsu	Texas A&M	21	LSU	45	
baylor-duke	Baylor	20	Duke	34	
western-caro-hawaii	Western Caro.		Hawaii		
arizona-colorado	Arizona	45	Colorado	42	
toledo-nevada	Toledo	37	Nevada	24	
iowa-nebraska	Iowa	56	Nebraska	14	
notre-dame-michigan-st	Notre Dame	38	Mich. St. 	18	
akron-troy	Akron	17	Troy	22	
tulane-navy	Tulane	21	Navy	23	
cincinnati-navy	Cincinnati	32	Navy	42	
buffalo-ball-st	Buffalo	40	Ball State	24	
fresno-st-san-jose-st	Fresno State	27	San Jose State	10	
cal-poly-san-jose-st	Cal Poly	13	San Jose State	34	
hawaii-unlv	Hawaii	23	UNLV	31	
kansas-st-vanderbilt	Kansas St.	7	Vanderbilt	14	
michigan-maryland	Michigan	35	Maryland	10	
ohio-purdue	Ohio	21	Purdue	44	
oklahoma-st-pittsburgh	Oklahoma State	59	Pittsburgh	21	
alabama-auburn	Alabama	14	Auburn	26	
southern-ill-memphis	Southern Ill.	31	Memphis	44	
new-mexico-wyoming	New Mexico	3	Wyoming	42	
massachusetts-mississippi-st	Massachusetts	23	Mississippi St.	34	
texas-tech-kansas	Texas Tech	65	Kansas	19	
austin-peay-miami-oh	Austin Peay	10	Miami (Ohio)	31	
tcu-texas-tech	TCU	27	Texas Tech	3	
central-conn-st-syracuse	Cent. Conn. St.	7	Syracuse	50	
delaware-st-florida-st	Delaware State	6	Florida State	77	
washington-st-oregon	Washington St.	33	Oregon	10	
auburn-missouri	Auburn	51	Missouri	14	
smu-navy	SMU	40	Navy	43	
indiana-virginia	Indiana	34	Virginia	17	
michigan-st-minnesota	Mich. St. 	30	Minnesota	27	
miami-oh-ohio	Miami (Ohio)	28	Ohio	45	
southern-miss-tennessee	Southern Miss	10	Tennessee	24	
marshall-cincinnati	Marshall	38	Cincinnati	21	
illinois-ohio-st	Illinois	14	Ohio St. 	52	
north-carolina-virginia-tech	North Carolina	7	Virginia Tech	59	
new-mexico-fresno-st	New Mexico	0	Fresno State	38	
central-mich-kansas	Cent. Michigan	45	Kansas	27	
maryland-michigan-st	Maryland	7	Mich. St. 	17	
troy-arkansas-st	Troy	32	Arkansas State	25	
tennessee-missouri	Tennessee	17	Missouri	50	
eastern-mich-kentucky	Eastern Mich.	20	Kentucky	24	
ohio-buffalo	Ohio	24	Buffalo	31	
texas-am-florida	Texas A&M	19	Florida	17	
baylor-kansas	Baylor	38	Kansas	9	
tulane-fiu	Tulane	10	FIU	23	
rutgers-indiana	Rutgers	0	Indiana	41	
new-mexico-st-arizona-st	New Mexico St.	31	Arizona St.	37	
lsu-mississippi-st	LSU	7	Mississippi St.	37	
lsu-florida	LSU	17	Florida	16	
memphis-ucf	Memphis	55	UCF	62	
towson-maryland	Towson	17	Maryland	63	
utah-southern-california	Utah	27	USC	28	
texas-st-troy	Texas State	9	Troy	62	
nicholls-st-texas-am	Nicholls State	14	Texas A&M	24	
jacksonville-st-georgia-tech	Jacksonville St.	10	Georgia Tech	37	
toledo-central-mich	Toledo	30	Cent. Michigan	10	
boise-st-byu	Boise State	24	BYU	7	
fiu-ucf	FIU	17	UCF	61	
oregon-ucla	Oregon	14	UCLA	31	
alabama-am-south-ala	Alabama A&M	0	South Alabama	45	
appalachian-st-massachusetts	Appalachian St.	27	Massachusetts	30	
kentucky-mississippi-st	Kentucky	7	Mississippi St.	45	
california-washington	California	7	Washington	38	
missouri-uconn	Missouri	52	UConn	12	
louisiana-tech-utep	Louisiana Tech	42	UTEP	21	
south-carolina-missouri	South Carolina	31	Missouri	13	
ball-st-western-ky	Ball State	21	Western Ky.	33	
charlotte-eastern-mich	Charlotte	7	Eastern Mich.	24	
wake-forest-notre-dame	Wake Forest	37	Notre Dame	48	
stanford-oregon-st	Stanford	15	Oregon St.	14	
arkansas-ole-miss	Arkansas	38	Mississippi	37	
san-jose-st-hawaii	San Jose State		Hawaii		
wake-forest-boston-college	Wake Forest	34	Boston College	10	
miami-fl-florida-st	Miami (Fla.)	24	Florida State	20	
utep-oklahoma	UTEP	7	Oklahoma	56	
eastern-ky-kentucky	Eastern Kentucky	16	Kentucky	27	
eastern-wash-texas-tech	Eastern Wash.	10	Texas Tech	56	
mercer-auburn	Mercer	10	Auburn	24	
miami-oh-ball-st	Miami (Ohio)	28	Ball State	7	
michigan-penn-st	Michigan	13	Penn St.	42	
north-dakota-utah	North Dakota	16	Utah	37	
savannah-st-appalachian-st	Savannah State	7	Appalachian St.	54	
fla-atlantic-louisiana-tech	Florida Atlantic	48	Louisiana Tech	23	
arkansas-st-ga-southern	Arkansas State	43	Ga. Southern	25	
indiana-penn-st	Indiana	14	Penn St.	45	
unlv-fresno-st	UNLV	26	Fresno State	16	
western-ill-coastal-caro	Western Illinois	52	Coastal Caro.	10	
vanderbilt-ole-miss	Vanderbilt	35	Mississippi	57	
southern-california-washington-st	USC	27	Washington St.	30	
vanderbilt-tennessee	Vanderbilt	42	Tennessee	24	
uc-davis-san-diego-st	UC Davis	17	San Diego State	38	
south-dakota-bowling-green	South Dakota	35	Bowling Green	27	
nebraska-minnesota	Nebraska	21	Minnesota	54	
tulsa-oklahoma-st	Tulsa	24	Oklahoma State	59	
villanova-temple	Villanova	13	Temple	16	
louisiana-tech-south-carolina	Louisiana Tech	16	South Carolina	17	
syracuse-florida-st	Syracuse	24	Florida State	27	
uab-north-texas	UAB	43	North Texas	46	
morgan-st-rutgers	Morgan State	0	Rutgers	65	
kentucky-south-carolina	Kentucky	23	South Carolina	13	
southern-california-california	USC	30	California	20	
central-mich-boston-college	Cent. Michigan	8	Boston College	28	
portland-st-byu	Portland State	6	BYU	20	
texas-tech-houston	Texas Tech	27	Houston	24	
utsa-louisiana-tech	UTSA	6	Louisiana Tech	20	
oregon-st-arizona	Oregon St.	28	Arizona	49	
penn-st-michigan-st	Penn St.	24	Mich. St. 	27	
incarnate-word-fresno-st	Incarnate Word	0	Fresno State	66	
washington-arizona-st	Washington	7	Arizona St.	13	
indiana-st-tennessee	Indiana State	7	Tennessee	42	
ark-pine-bluff-akron	Ark.-Pine Bluff	3	Akron	52	
south-fla-uconn	South Florida	37	UConn	20	
marshall-fla-atlantic	Marshall	25	Florida Atlantic	30	
ohio-st-rutgers	Ohio St. 	56	Rutgers	0	
north-texas-smu	North Texas	32	SMU	54	
michigan-st-michigan	Mich. St. 	14	Michigan	10	
ole-miss-auburn	Mississippi	23	Auburn	44	
west-virginia-baylor	West Virginia	38	Baylor	36	
iowa-st-baylor	Iowa State	23	Baylor	13	
texas-st-colorado	Texas State	3	Colorado	37	
indiana-michigan-st	Indiana	9	Mich. St. 	17	
central-mich-western-mich	Cent. Michigan	35	Western Mich.	28	
charlotte-old-dominion	Charlotte	0	Old Dominion	6	
idaho-georgia-st	Idaho	24	Georgia State	10	
bethune-cookman-miami-fl	Bethune-Cookman	13	Miami (Fla.)	41	
rutgers-michigan	Rutgers	14	Michigan	35	
akron-miami-oh	Akron	14	Miami (Ohio)	24	
cincinnati-tulane	Cincinnati	17	Tulane	16	
missouri-vanderbilt	Missouri	45	Vanderbilt	17	
uab-southern-miss	UAB	30	Southern Miss	12	
wagner-western-mich	Wagner	14	Western Mich.	49	
tcu-kansas-st	TCU	26	Kansas St.	6	
florida-missouri	Florida	16	Missouri	45	
mississippi-st-auburn	Mississippi St.	10	Auburn	49	
south-ala-louisiana-tech	South Alabama	16	Louisiana Tech	34	
rice-utsa	Rice	7	UTSA	20	
lsu-tennessee	LSU	30	Tennessee	10	
nebraska-illinois	Nebraska	28	Illinois	6	
iowa-st-texas-tech	Iowa State	31	Texas Tech	13	
navy-memphis	Navy	27	Memphis	30	
washington-colorado	Washington	37	Colorado	10	
arkansas-st-smu	Arkansas State	21	SMU	44	
utah-st-new-mexico	Utah State	24	New Mexico	10	
houston-arizona	Houston	19	Arizona	16	
oregon-arizona-st	Oregon	35	Arizona St.	37	
new-mexico-st-appalachian-st	New Mexico St.	31	Appalachian St.	45	
smu-memphis	SMU	45	Memphis	66	
missouri-georgia	Missouri	28	Georgia	53	
west-virginia-virginia-tech	West Virginia	24	Virginia Tech	31	
idaho-st-utah-st	Idaho State	13	Utah State	51	
auburn-texas-am	Auburn	42	Texas A&M	27	
illinois-purdue	Illinois	10	Purdue	29	
kentucky-vanderbilt	Kentucky	44	Vanderbilt	21	
syracuse-miami-fl	Syracuse	19	Miami (Fla.)	27	
washington-st-arizona	Washington St.	37	Arizona	58	
oregon-wyoming	Oregon	49	Wyoming	13	
florida-kentucky	Florida	28	Kentucky	27	
northern-ill-san-diego-st	Northern Ill.	28	San Diego State	34	
bowling-green-middle-tenn	Bowling Green	13	Middle Tenn.	24	
ball-st-western-mich	Ball State	3	Western Mich.	55	
ohio-st-iowa	Ohio St. 	24	Iowa	55	
charleston-so-mississippi-st	Charleston So.	0	Mississippi St.	49	
san-jose-st-byu	San Jose State	20	BYU	41	
idaho-south-ala	Idaho	29	South Alabama	23	
portland-st-oregon-st	Portland State	32	Oregon St.	35	
colorado-ucla	Colorado	23	UCLA	27	
southern-miss-louisiana-tech	Southern Miss	34	Louisiana Tech	27	
hawaii-utah-st	Hawaii	0	Utah State	38	
oklahoma-kansas	Oklahoma	41	Kansas	3	
uab-florida	UAB	7	Florida	36	
rice-utep	Rice	31	UTEP	14	
western-ky-vanderbilt	Western Ky.	17	Vanderbilt	31	
florida-am-arkansas	Florida A&M	7	Arkansas	49	
oklahoma-ohio-st	Oklahoma	31	Ohio St. 	16	
michigan-st-rutgers	Mich. St. 	40	Rutgers	7	
ucla-utah	UCLA	17	Utah	48	
toledo-bowling-green	Toledo	66	Bowling Green	37	
michigan-wisconsin	Michigan	10	Wisconsin	24	
oklahoma-baylor	Oklahoma	49	Baylor	41	
hawaii-ucla	Hawaii	23	UCLA	56	
colorado-utah	Colorado	13	Utah	34	
iowa-st-kansas-st	Iowa State	19	Kansas St.	20	
maryland-rutgers	Maryland	24	Rutgers	31	
stanford-washington-st	Stanford	21	Washington St.	24	
miami-fl-duke	Miami (Fla.)	31	Duke	6	
idaho-western-mich	Idaho	28	Western Mich.	37	
texas-baylor	Texas	38	Baylor	7	
smu-tcu	SMU	36	TCU	56	
ucf-smu	UCF	31	SMU	24	
air-force-new-mexico	Air Force	38	New Mexico	56	
notre-dame-stanford	Notre Dame	20	Stanford	38	
fiu-middle-tenn	FIU	17	Middle Tenn.	37	
central-mich-ohio	Cent. Michigan	26	Ohio	23	
north-texas-rice	North Texas	30	Rice	14	
massachusetts-byu	Massachusetts	16	BYU	10	
bowling-green-eastern-mich	Bowling Green	31	Eastern Mich.	34	
utep-southern-miss	UTEP	0	Southern Miss	24	
florida-st-florida	Florida State	38	Florida	22	
wyoming-air-force	Wyoming	28	Air Force	14	
fiu-rice	FIU	13	Rice	7	
bowling-green-miami-oh	Bowling Green	37	Miami (Ohio)	29	
smu-cincinnati	SMU	31	Cincinnati	28	
southeast-mo-st-kansas	Southeast Mo. St.	16	Kansas	38	
unlv-idaho	UNLV	44	Idaho	16	
utep-uab	UTEP	7	UAB	28	
texas-st-coastal-caro	Texas State	27	Coastal Caro.	7	
colorado-st-utah-st	Colorado State	27	Utah State	14	
penn-st-ohio-st	Penn St.	38	Ohio St. 	39	
middle-tenn-uab	Middle Tenn.	23	UAB	25	
oklahoma-st-iowa-st	Oklahoma State	49	Iowa State	42	
southern-california-arizona-st	USC	48	Arizona St.	17	
toledo-miami-fl	Toledo	30	Miami (Fla.)	52	
purdue-wisconsin	Purdue	9	Wisconsin	17	
oklahoma-texas	Oklahoma	29	Texas	24	
western-mich-southern-california	Western Mich.	31	USC	49	
massachusetts-temple	Massachusetts	21	Temple	29	
bowling-green-buffalo	Bowling Green	28	Buffalo	38	
pittsburgh-duke	Pittsburgh	24	Duke	17	
north-texas-louisiana-tech	North Texas	24	Louisiana Tech	23	
iowa-st-akron	Iowa State	41	Akron	14	
south-carolina-texas-am	South Carolina	17	Texas A&M	24	
wyoming-san-jose-st	Wyoming	17	San Jose State	20	
pittsburgh-virginia-tech	Pittsburgh	14	Virginia Tech	20	
boise-st-utah-st	Boise State	41	Utah State	14	
virginia-tech-boston-college	Virginia Tech	23	Boston College	10	
ucf-navy	UCF	31	Navy	21	
minnesota-purdue	Minnesota	17	Purdue	31	
navy-fla-atlantic	Navy	42	Florida Atlantic	19	
unlv-ohio-st	UNLV	21	Ohio St. 	54	
tennessee-georgia-tech	Tennessee	42	Georgia Tech	41	
charlotte-western-ky	Charlotte	14	Western Ky.	45	
weber-st-california	Weber State	20	California	33	
penn-st-iowa	Penn St.	21	Iowa	19	
arizona-southern-california	Arizona	35	USC	49	
georgia-st-la-monroe	Georgia State	47	La.-Monroe	37	
illinois-minnesota	Illinois	17	Minnesota	24	
houston-tulsa	Houston	17	Tulsa	45	
northern-ill-nebraska	Northern Ill.	21	Nebraska	17	
new-mexico-boise-st	New Mexico	14	Boise State	28	
appalachian-st-la-monroe	Appalachian St.	45	La.-Monroe	52	
western-ky-marshall	Western Ky.	23	Marshall	30	
oklahoma-oklahoma-st	Oklahoma	62	Oklahoma State	52	
ole-miss-mississippi-st	Mississippi	31	Mississippi St.	28	
charlotte-fiu	Charlotte	29	FIU	30	
coastal-caro-appalachian-st	Coastal Caro.	29	Appalachian St.	37	
ucf-cincinnati	UCF	51	Cincinnati	23	
michigan-indiana	Michigan	27	Indiana	20	
western-ky-illinois	Western Ky.	7	Illinois	20	
eastern-mich-miami-oh	Eastern Mich.	27	Miami (Ohio)	24	
delaware-virginia-tech	Delaware	0	Virginia Tech	27	
miami-oh-kent-st	Miami (Ohio)	14	Kent State	17	
notre-dame-north-carolina	Notre Dame	33	North Carolina	10	
charlotte-southern-miss	Charlotte	21	Southern Miss	66	
michigan-st-northwestern	Mich. St. 	31	Northwestern	39	
east-carolina-houston	East Carolina	27	Houston	52	
boise-st-washington-st	Boise State	44	Washington St.	47	
south-carolina-tennessee	South Carolina	15	Tennessee	9	
south-fla-east-carolina	South Florida	61	East Carolina	31	
byu-fresno-st	BYU	13	Fresno State	20	
new-mexico-texas-am	New Mexico	14	Texas A&M	55	
elon-toledo	Elon	13	Toledo	47	
virginia-north-carolina	Virginia	20	North Carolina	14	
central-mich-syracuse	Cent. Michigan	17	Syracuse	41	
tcu-oklahoma-st	TCU	44	Oklahoma State	31	
san-diego-st-air-force	San Diego State	28	Air Force	24	
houston-temple	Houston	20	Temple	13	
navy-notre-dame	Navy	17	Notre Dame	24	
virginia-tech-miami-fl	Virginia Tech	10	Miami (Fla.)	28	
oregon-st-california	Oregon St.	23	California	37	
utah-st-wake-forest	Utah State	10	Wake Forest	46	
georgia-st-charlotte	Georgia State	28	Charlotte	0	
charlotte-kansas-st	Charlotte	7	Kansas St.	55	
rice-old-dominion	Rice	21	Old Dominion	24	
kansas-oklahoma-st	Kansas	17	Oklahoma State	58	
east-carolina-ucf	East Carolina	21	UCF	63	
oregon-st-southern-california	Oregon St.	10	USC	38	
oklahoma-kansas-st	Oklahoma	42	Kansas St.	35	
western-mich-buffalo	Western Mich.	71	Buffalo	68	
north-carolina-old-dominion	North Carolina	53	Old Dominion	23	
uconn-cincinnati	UConn	21	Cincinnati	22	
purdue-northwestern	Purdue	13	Northwestern	23	
oklahoma-st-texas-tech	Oklahoma State	41	Texas Tech	34	
houston-south-fla	Houston	28	South Florida	24	
ohio-st-wisconsin	Ohio St. 	27	Wisconsin	21	
oregon-st-colorado-st	Oregon St.	27	Colorado State	58	
utep-new-mexico-st	UTEP	14	New Mexico St.	41	
alabama-am-uab	Alabama A&M	7	UAB	38	
tulane-east-carolina	Tulane	31	East Carolina	24	
vanderbilt-florida	Vanderbilt	24	Florida	38	
kansas-iowa-st	Kansas	0	Iowa State	45	
texas-tcu	Texas	7	TCU	24	
ucla-southern-california	UCLA	23	USC	28	
iowa-wisconsin	Iowa	14	Wisconsin	38	
holy-cross-uconn	Holy Cross	20	UConn	27	
la-monroe-florida-st	La.-Monroe	10	Florida State	42	
pittsburgh-georgia-tech	Pittsburgh	17	Georgia Tech	35	
