team	win	losses
West Virginia	7	5
UTSA	6	5
Southern Miss.	8	4
SMU	7	5
La.-Monroe	4	8
North Texas	9	4
NC State	8	4
Temple	6	6
Appalachian St.	8	4
Texas A&M	7	5
Tennessee	4	8
TCU	10	3
Arizona St.	7	5
Arizona	7	5
Houston	7	4
Memphis	10	2
Massachusetts	4	8
Alabama	11	1
Tulsa	2	10
Tulane	5	7
Stanford	9	4
Troy	10	2
Texas St.	2	10
Louisiana	5	7
South Fla.	9	2
UCF	12	0
Central Mich.	8	4
Rice	1	11
Vanderbilt	5	7
Baylor	1	11
Miami (OH)	5	7
Miami (FL)	10	2
Michigan St.	9	3
Idaho	4	8
Michigan	8	4
Middle Tenn.	6	6
Penn St.	10	2
Toledo	11	2
Western Mich.	6	6
UTEP	0	12
Iowa	7	5
Iowa St.	7	5
East Carolina	3	9
Texas Tech	6	6
Duke	6	6
Texas	6	6
Maryland	4	8
UCLA	6	6
Hawaii	3	9
Buffalo	6	6
Wisconsin	12	1
Minnesota	5	7
Oklahoma St.	9	3
Oklahoma	12	1
Old Dominion	5	7
Louisiana Tech	6	6
Louisville	8	4
LSU	9	3
Oregon St.	1	11
Oregon	7	5
Rutgers	4	8
Illinois	2	10
Indiana	5	7
Marshall	7	5
California	5	7
Arkansas	4	8
Auburn	10	3
Ohio	8	4
Ohio St.	11	2
South Ala.	4	8
South Carolina	8	4
Notre Dame	9	3
Ole Miss	6	6
Mississippi St.	8	4
Charlotte	1	11
San Diego St.	10	2
Kentucky	7	5
Kent St.	2	10
North Carolina	3	9
Boise St.	10	3
Boston College	7	5
Ga. Southern	2	10
Georgia	12	1
Georgia St.	6	5
Georgia Tech	5	6
Virginia	6	6
Utah St.	6	6
Southern California	11	2
Utah	6	6
Northwestern	9	3
Northern Ill.	8	4
San Jose St.	2	11
Washington	10	2
Washington St.	9	3
UNLV	5	7
Nevada	3	9
Pittsburgh	5	7
Nebraska	4	8
Fla. Atlantic	10	3
Wyoming	7	5
UConn	3	9
Fresno St.	9	4
Navy	6	6
Army West Point	9	3
Air Force	5	7
Virginia Tech	9	3
Purdue	6	6
Colorado	5	7
Colorado St.	7	5
Wake Forest	7	5
Florida St.	6	6
Florida	4	7
FIU	8	4
Ball St.	2	10
Akron	7	6
Kansas St.	7	5
UAB	8	4
Kansas	1	11
Clemson	12	1
Eastern Mich.	5	7
Cincinnati	4	8
Western Ky.	6	6
Coastal Caro.	3	9
BYU	4	9
Bowling Green	2	10
Missouri	7	5
New Mexico St.	6	6
New Mexico	3	9
Liberty	6	5
Syracuse	4	8
