team_id	team_name	team_games	Net_Rush_Yds	Pass_Yds	Tot_Off	Plays	Yds_Per_Play	First_Downs_By_Penalty	Penalties	Penalties_Per_Game	Penalties_Yds_Per_Game	Tot_Off_Yards_Per_Game	opp_team_games	opp_Net_Rush_Yds	opp_Pass_Yds	opp_Tot_Off	opp_Plays	opp_Yds_Per_Play	opp_First_Downs_By_Penalty	opp_Penalties	opp_Penalties_Per_Game	opp_Penalties_Yds_Per_Game	opp_Tot_Off_Yards_Per_Game
768	West Virginia	12	1,925	3,897	485.17	5,822	0.00	30	74	6.17	60.42	485.17	12	1,925	3,897	485.17	5,822	0.00	30	74	6.17	60.42	485.17
706	UTSA	11	2,030	2,231	387.36	754	0.00	20	79	7.18	58.27	387.36	11	2,030	2,231	387.36	754	0.00	20	79	7.18	58.27	387.36
664	Southern Miss.	12	2,268	2,992	438.33	5,260	0.00	23	92	7.67	69.00	438.33	12	2,268	2,992	438.33	5,260	0.00	23	92	7.67	69.00	438.33
663	SMU	12	2,230	3,696	493.83	5,926	0.00	30	78	6.50	61.17	493.83	12	2,230	3,696	493.83	5,926	0.00	30	78	6.50	61.17	493.83
498	La.-Monroe	12	2,044	3,452	458.00	863	0.00	16	64	5.33	44.25	458.00	12	2,044	3,452	458.00	863	0.00	16	64	5.33	44.25	458.00
497	North Texas	13	2,288	3,783	467.00	958	0.00	22	62	4.77	42.08	467.00	13	2,288	3,783	467.00	958	0.00	22	62	4.77	42.08	467.00
490	NC State	12	2,129	3,262	449.25	5,391	0.00	21	73	6.08	55.58	449.25	12	2,129	3,262	449.25	5,391	0.00	21	73	6.08	55.58	449.25
690	Temple	12	1,632	3,019	387.58	4,651	0.00	20	91	7.58	68.00	387.58	12	1,632	3,019	387.58	4,651	0.00	20	91	7.58	68.00	387.58
27	Appalachian St.	12	2,580	2,680	438.33	5,260	0.00	19	87	7.25	67.17	438.33	12	2,580	2,680	438.33	5,260	0.00	19	87	7.25	67.17	438.33
697	Texas A&M	12	1,908	2,767	389.58	4,675	0.00	23	60	5.00	42.75	389.58	12	1,908	2,767	389.58	4,675	0.00	23	60	5.00	42.75	389.58
