team	stats	rankings	value
West Virginia	Stat	Rank	Value
West Virginia	Total Offense	16	485.2
West Virginia	Rushing Offense	72	160.4
West Virginia	Passing Offense	12	324.8
West Virginia	Team Passing Efficiency	11	156.57
West Virginia	Scoring Offense	19	36.3
West Virginia	Total Defense	110	452.5
West Virginia	Rushing Defense	104	204.8
West Virginia	Passing Yards Allowed	100	247.8
West Virginia	Team Passing Efficiency Defense	101	139.93
West Virginia	Scoring Defense	92	31.6
West Virginia	Turnover Margin	T-95	-0.42
West Virginia	3rd Down Conversion Pct	102	0.351
West Virginia	4th Down Conversion Pct	3	0.750
West Virginia	3rd Down Conversion Pct Defense	29	0.335
West Virginia	4th Down Conversion Pct Defense	125	0.727
West Virginia	Red Zone Offense	T-52	0.860
West Virginia	Red Zone Defense	66	0.836
West Virginia	Net Punting	113	35.52
West Virginia	Punt Returns	100	5.38
West Virginia	Kickoff Returns	17	24.39
West Virginia	First Downs Offense	12	295
West Virginia	First Downs Defense	T-84	260
West Virginia	Fewest Penalties Per Game	72	6.17
West Virginia	Fewest Penalty Yards Per Game	96	60.42
West Virginia	Time of Possession	110	   27:44
UTSA	Stat	Rank	Value
UTSA	Total Offense	80	387.4
UTSA	Rushing Offense	45	184.5
UTSA	Passing Offense	84	202.8
UTSA	Team Passing Efficiency	59	133.95
UTSA	Scoring Offense	104	23.5
UTSA	Total Defense	7	287.8
UTSA	Rushing Defense	25	127.7
UTSA	Passing Yards Allowed	3	160.1
UTSA	Team Passing Efficiency Defense	19	112.19
UTSA	Scoring Defense	8	17.0
UTSA	Turnover Margin	38	0.36
UTSA	3rd Down Conversion Pct	54	0.416
UTSA	4th Down Conversion Pct	T-48	0.571
UTSA	3rd Down Conversion Pct Defense	40	0.348
UTSA	4th Down Conversion Pct Defense	T-19	0.400
UTSA	Red Zone Offense	81	0.824
UTSA	Red Zone Defense	9	0.720
UTSA	Net Punting	35	39.36
UTSA	Punt Returns	116	4.26
UTSA	Kickoff Returns	44	21.90
UTSA	First Downs Offense	T-90	232
UTSA	First Downs Defense	T-2	166
UTSA	Fewest Penalties Per Game	107	7.18
UTSA	Fewest Penalty Yards Per Game	86	58.27
UTSA	Time of Possession	10	   33:13
Southern Miss.	Stat	Rank	Value
Southern Miss.	Total Offense	33	438.3
Southern Miss.	Rushing Offense	39	189.0
Southern Miss.	Passing Offense	47	249.3
Southern Miss.	Team Passing Efficiency	64	132.09
Southern Miss.	Scoring Offense	47	30.5
Southern Miss.	Total Defense	17	321.9
Southern Miss.	Rushing Defense	T-28	132.2
Southern Miss.	Passing Yards Allowed	25	189.8
Southern Miss.	Team Passing Efficiency Defense	20	112.61
Southern Miss.	Scoring Defense	39	23.0
Southern Miss.	Turnover Margin	68	0.00
Southern Miss.	3rd Down Conversion Pct	84	0.380
Southern Miss.	4th Down Conversion Pct	67	0.526
Southern Miss.	3rd Down Conversion Pct Defense	23	0.331
Southern Miss.	4th Down Conversion Pct Defense	T-25	0.412
Southern Miss.	Red Zone Offense	T-86	0.810
Southern Miss.	Red Zone Defense	58	0.829
Southern Miss.	Net Punting	68	37.70
Southern Miss.	Punt Returns	93	5.79
Southern Miss.	Kickoff Returns	83	20.32
Southern Miss.	First Downs Offense	43	264
Southern Miss.	First Downs Defense	18	204
Southern Miss.	Fewest Penalties Per Game	115	7.67
Southern Miss.	Fewest Penalty Yards Per Game	118	69.00
Southern Miss.	Time of Possession	43	   30:55
SMU	Stat	Rank	Value
SMU	Total Offense	13	493.8
SMU	Rushing Offense	44	185.8
SMU	Passing Offense	16	308.0
SMU	Team Passing Efficiency	27	147.17
SMU	Scoring Offense	8	40.2
SMU	Total Defense	121	486.7
SMU	Rushing Defense	T-112	213.3
SMU	Passing Yards Allowed	120	273.4
SMU	Team Passing Efficiency Defense	116	152.18
SMU	Scoring Defense	112	35.5
SMU	Turnover Margin	14	0.83
SMU	3rd Down Conversion Pct	30	0.441
SMU	4th Down Conversion Pct	9	0.700
SMU	3rd Down Conversion Pct Defense	100	0.434
SMU	4th Down Conversion Pct Defense	37	0.444
SMU	Red Zone Offense	T-40	0.875
SMU	Red Zone Defense	45	0.809
SMU	Net Punting	51	38.36
SMU	Punt Returns	121	3.71
SMU	Kickoff Returns	92	19.76
SMU	First Downs Offense	16	292
SMU	First Downs Defense	113	286
SMU	Fewest Penalties Per Game	T-87	6.50
SMU	Fewest Penalty Yards Per Game	99	61.17
SMU	Time of Possession	77	   29:32
La.-Monroe	Stat	Rank	Value
La.-Monroe	Total Offense	22	458.0
La.-Monroe	Rushing Offense	56	170.3
La.-Monroe	Passing Offense	T-24	287.7
La.-Monroe	Team Passing Efficiency	30	146.18
La.-Monroe	Scoring Offense	27	33.9
La.-Monroe	Total Defense	128	532.1
La.-Monroe	Rushing Defense	118	232.8
La.-Monroe	Passing Yards Allowed	127	299.3
La.-Monroe	Team Passing Efficiency Defense	126	164.13
La.-Monroe	Scoring Defense	125	41.0
La.-Monroe	Turnover Margin	T-90	-0.33
La.-Monroe	3rd Down Conversion Pct	36	0.435
La.-Monroe	4th Down Conversion Pct	51	0.565
La.-Monroe	3rd Down Conversion Pct Defense	117	0.460
La.-Monroe	4th Down Conversion Pct Defense	85	0.556
La.-Monroe	Red Zone Offense	T-74	0.833
La.-Monroe	Red Zone Defense	120	0.902
La.-Monroe	Net Punting	69	37.67
La.-Monroe	Punt Returns	72	7.07
La.-Monroe	Kickoff Returns	12	24.82
La.-Monroe	First Downs Offense	48	259
La.-Monroe	First Downs Defense	124	301
La.-Monroe	Fewest Penalties Per Game	T-40	5.33
La.-Monroe	Fewest Penalty Yards Per Game	35	44.25
La.-Monroe	Time of Possession	71	   29:42
North Texas	Stat	Rank	Value
North Texas	Total Offense	18	467.0
North Texas	Rushing Offense	53	176.0
North Texas	Passing Offense	21	291.0
North Texas	Team Passing Efficiency	28	147.10
North Texas	Scoring Offense	20	35.9
North Texas	Total Defense	96	431.2
North Texas	Rushing Defense	107	208.1
North Texas	Passing Yards Allowed	65	223.1
North Texas	Team Passing Efficiency Defense	64	128.72
North Texas	Scoring Defense	106	33.8
North Texas	Turnover Margin	113	-0.62
North Texas	3rd Down Conversion Pct	26	0.446
North Texas	4th Down Conversion Pct	46	0.577
North Texas	3rd Down Conversion Pct Defense	105	0.438
North Texas	4th Down Conversion Pct Defense	88	0.559
North Texas	Red Zone Offense	25	0.898
