game_id	home_team_id	away_team_id	date	neutral_site	game_link
east-carolina-nc-state	0	196	12/01/2018	0	http://www.ncaa.com/game/football/fbs/2018/12/01/east-carolina-nc-state#boxscore
west-virginia-texas-tech	700	0	09/29/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/29/west-virginia-texas-tech#boxscore
army-west-point-eastern-mich	204	0	10/27/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/27/army-west-point-eastern-mich#boxscore
alabama-lsu	365	0	11/03/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/03/alabama-lsu#boxscore
fresno-st-boise-st	0	96	12/01/2018	0	http://www.ncaa.com/game/football/fbs/2018/12/01/fresno-st-boise-st#boxscore
boise-st-air-force	721	0	10/27/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/27/boise-st-air-force#boxscore
nevada-unlv	0	466	11/24/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/24/nevada-unlv#boxscore
buffalo-central-mich	0	86	10/06/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/06/buffalo-central-mich#boxscore
texas-maryland	0	392	09/01/2018	1	http://www.ncaa.com/game/football/fbs/2018/09/01/texas-maryland#boxscore
temple-boston-college	67	0	09/29/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/29/temple-boston-college#boxscore
texas-southern-texas-st	670	0	09/08/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/08/texas-southern-texas-st#boxscore
western-ky-middle-tenn	0	772	11/02/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/02/western-ky-middle-tenn#boxscore
oregon-arizona	0	529	10/27/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/27/oregon-arizona#boxscore
penn-st-indiana	306	0	10/20/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/20/penn-st-indiana#boxscore
uconn-east-carolina	0	164	11/17/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/17/uconn-east-carolina#boxscore
boise-st-troy	0	66	09/01/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/01/boise-st-troy#boxscore
tulsa-houston	0	719	10/04/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/04/tulsa-houston#boxscore
mississippi-st-kentucky	334	0	09/22/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/22/mississippi-st-kentucky#boxscore
virginia-georgia-tech	0	746	11/17/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/17/virginia-georgia-tech#boxscore
